"","EorP","CapShape","CapSurf","CapColor","Bruises","Odor","GillAtt","GillSpace","GillSize","GillColor","StalkShape","StalkRoot","SsurfAbove","SsurfBelow","ScolorAbove","ScolorBelow","VeilType","VeilColor","RingNum","RingType","Spore","Pop","Habitat"
"50","e","f","y","y","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","s","p"
"51","e","x","y","n","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","s","g"
"52","e","x","s","w","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","g"
"53","e","b","s","w","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","n","m"
"54","p","x","y","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","v","u"
"55","p","x","s","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","u"
"56","e","b","y","y","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","m"
"57","e","f","f","g","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","a","g"
"58","e","b","s","w","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","g"
"59","e","x","s","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","n","g"
"60","e","x","y","n","t","a","f","c","b","p","e","r","s","y","w","w","p","w","o","p","k","y","p"
"61","e","s","f","g","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","v","u"
"62","e","b","y","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","m"
"63","e","b","s","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","m"
"64","e","b","y","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","m"
"65","e","b","y","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","g"
"66","e","f","s","n","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","k","a","g"
"67","e","x","s","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","g"
"68","e","f","y","y","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","n","s","g"
"69","e","x","y","y","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","n","g"
"70","e","x","f","g","f","n","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","v","u"
"71","e","f","f","y","t","l","f","w","n","p","t","b","s","s","w","w","p","w","o","p","n","v","d"
"72","e","b","y","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","m"
"73","e","f","f","y","t","l","f","w","n","w","t","b","s","s","w","w","p","w","o","p","n","v","d"
"74","e","x","y","n","t","a","f","c","b","p","e","r","s","y","w","w","p","w","o","p","k","s","p"
"75","e","b","s","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","g"
"76","e","f","s","y","t","l","f","w","n","p","t","b","s","s","w","w","p","w","o","p","n","v","d"
"77","e","x","s","w","t","l","f","w","n","n","t","b","s","s","w","w","p","w","o","p","u","v","d"
"78","e","f","y","n","t","l","f","c","b","p","e","r","s","y","w","w","p","w","o","p","n","y","p"
"79","p","x","y","n","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","n","v","u"
"80","e","f","y","n","t","a","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","y","g"
"81","e","x","s","n","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","n","s","g"
"82","p","x","y","w","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","k","s","g"
"83","e","f","f","g","f","n","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","y","u"
"84","e","x","f","g","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","s","g"
"85","e","x","y","y","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","s","g"
"86","e","x","s","n","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","k","s","g"
"87","e","b","s","w","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","g"
"88","e","x","s","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","g"
"89","e","f","y","n","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","y","g"
"90","e","s","f","n","f","n","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","u"
"91","e","x","f","n","f","n","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","y","u"
"92","e","b","s","w","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","g"
"93","e","x","y","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","g"
"94","e","x","y","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","m"
"95","e","x","s","n","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","a","g"
"96","e","x","s","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","g"
"97","e","f","y","n","t","l","f","c","b","p","e","r","s","y","w","w","p","w","o","p","n","s","g"
"98","e","x","s","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","g"
"99","e","b","s","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","g"
"100","e","x","y","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","g"
"101","e","x","f","n","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","k","s","g"
"102","e","b","s","y","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","g"
"103","e","f","y","y","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","n","s","g"
"104","e","x","y","y","t","a","f","c","b","n","e","r","s","y","w","w","p","w","o","p","k","y","p"
"105","e","b","y","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","g"
"106","e","x","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","m"
"107","e","x","y","y","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","n","y","g"
"108","e","b","y","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","m"
"109","e","b","y","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","m"
"110","e","x","s","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","n","m"
"111","e","x","s","y","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","n","g"
"112","e","s","f","g","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","k","y","u"
"113","e","x","f","w","t","a","f","w","n","w","t","b","s","s","w","w","p","w","o","p","u","v","d"
"114","e","x","s","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","m"
"115","p","x","y","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","u"
"116","e","x","y","y","t","l","f","c","b","p","e","r","s","y","w","w","p","w","o","p","n","s","g"
"117","e","s","f","g","f","n","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","y","u"
"118","e","x","y","y","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","y","g"
"119","e","x","s","y","t","l","f","w","n","p","t","b","s","s","w","w","p","w","o","p","u","v","d"
"120","e","s","f","n","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","y","u"
"121","p","x","s","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","g"
"122","e","x","y","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","m"
"123","p","f","y","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","v","g"
"124","e","f","s","g","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","n","a","g"
"125","e","x","s","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","m"
"126","e","x","s","w","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","k","s","g"
"127","e","b","s","y","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","g"
"128","e","f","f","g","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","n","a","g"
"129","e","x","s","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","g"
"130","e","b","s","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","m"
"131","e","b","s","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","g"
"132","e","b","y","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","m"
"133","e","f","s","w","t","l","f","w","n","w","t","b","s","s","w","w","p","w","o","p","u","v","d"
"134","e","x","y","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","m"
"135","e","f","s","w","t","a","f","w","n","p","t","b","s","s","w","w","p","w","o","p","n","v","d"
"136","p","x","y","w","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","n","v","u"
"137","e","f","f","w","t","l","f","w","n","w","t","b","s","s","w","w","p","w","o","p","n","v","d"
"138","e","x","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","g"
"139","p","x","s","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","v","g"
"140","e","b","s","y","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","g"
"141","e","x","y","n","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","y","p"
"142","e","b","y","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","m"
"143","e","s","f","n","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","v","u"
"144","e","f","y","n","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","y","p"
"145","e","x","y","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","n","g"
"146","e","x","f","g","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","k","s","g"
"147","e","f","f","w","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","n","a","g"
"148","e","x","y","y","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","m"
"149","e","b","s","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","n","g"
"150","e","b","y","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","m"
"151","e","x","y","w","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","g"
"152","e","x","s","n","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","n","a","g"
"153","e","x","y","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","g"
"154","e","s","f","n","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","u"
"155","e","x","s","w","t","a","f","w","n","w","t","b","s","s","w","w","p","w","o","p","u","v","d"
"156","e","x","y","n","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","s","g"
"157","e","b","y","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","n","g"
"158","e","x","y","w","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","n","g"
"159","e","b","y","w","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","m"
"160","e","b","s","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","g"
"161","e","b","s","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","m"
"162","e","b","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","g"
"163","e","x","f","n","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","y","u"
"164","e","f","y","n","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","y","g"
"165","e","x","y","w","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","g"
"166","e","f","y","y","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","n","y","p"
"167","e","b","s","w","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","g"
"168","e","b","s","w","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","m"
"169","e","x","y","n","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","y","g"
"170","e","b","s","w","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","g"
"171","e","x","f","g","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","n","y","u"
"172","e","b","s","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","g"
"173","e","x","f","y","t","l","f","w","n","n","t","b","s","s","w","w","p","w","o","p","u","v","d"
"174","e","b","y","y","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","g"
"175","e","f","y","y","t","l","f","c","b","p","e","r","s","y","w","w","p","w","o","p","n","s","g"
"176","e","b","y","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","n","m"
"177","e","b","y","w","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","n","m"
"178","e","b","y","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","g"
"179","e","x","y","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","m"
"180","e","b","s","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","g"
"181","p","x","y","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","v","u"
"182","e","s","f","n","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","n","y","u"
"183","e","f","f","n","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","k","v","u"
"184","e","x","s","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","m"
"185","e","f","y","n","t","a","f","c","b","p","e","r","s","y","w","w","p","w","o","p","k","s","p"
"186","p","x","y","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","s","g"
"187","e","b","s","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","m"
"188","e","f","f","g","f","n","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","v","u"
"189","e","b","y","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","g"
"190","e","x","y","n","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","n","y","p"
"191","e","x","f","w","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","k","s","g"
"192","e","x","s","w","t","l","f","w","n","w","t","b","s","s","w","w","p","w","o","p","n","v","d"
"193","e","b","s","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","m"
"194","e","f","s","y","t","a","f","w","n","w","t","b","s","s","w","w","p","w","o","p","n","v","d"
"195","e","x","s","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","n","m"
"196","e","f","f","g","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","n","y","u"
"197","e","b","s","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","g"
"198","e","x","s","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","m"
"199","e","x","y","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","m"
"200","e","f","s","w","t","a","f","w","n","n","t","b","s","s","w","w","p","w","o","p","n","v","d"
"201","e","x","y","y","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","g"
"202","e","b","s","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","g"
"203","e","x","s","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","g"
"204","e","x","f","w","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","k","s","g"
"205","e","f","y","n","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","k","y","p"
"206","p","x","s","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","v","u"
"207","e","b","s","w","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","g"
"208","e","b","s","w","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","m"
"209","e","b","y","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","g"
"210","e","b","y","w","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","n","g"
"211","e","x","s","y","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","g"
"212","e","b","s","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","n","m"
"213","e","x","f","y","t","a","f","w","n","n","t","b","s","s","w","w","p","w","o","p","n","v","d"
"214","e","x","f","g","f","n","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","y","u"
"215","e","f","y","y","t","a","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","s","g"
"216","e","b","s","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","m"
"217","e","x","s","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","g"
"218","e","x","y","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","g"
"219","e","x","y","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","g"
"220","e","s","f","g","f","n","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","v","u"
"221","e","x","s","w","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","m"
"222","p","x","s","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","s","g"
"223","e","x","y","y","t","a","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","s","g"
"224","e","f","f","w","t","a","f","w","n","p","t","b","s","s","w","w","p","w","o","p","n","v","d"
"225","e","x","y","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","m"
"226","e","b","y","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","g"
"227","e","x","s","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","g"
"228","e","x","s","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","g"
"229","p","x","y","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","v","u"
"230","e","b","s","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","g"
"231","e","x","f","g","f","n","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","y","u"
"232","p","x","y","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","s","u"
"233","e","x","y","y","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","y","p"
"234","e","f","f","n","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","u"
"235","e","b","s","w","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","n","g"
"236","e","x","f","w","t","l","f","w","n","w","t","b","s","s","w","w","p","w","o","p","n","v","d"
"237","e","x","y","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","g"
"238","e","b","y","y","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","g"
"239","e","x","y","y","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","k","s","g"
"240","e","f","y","y","t","a","f","c","b","p","e","r","s","y","w","w","p","w","o","p","k","s","p"
"241","e","f","y","y","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","y","p"
"242","e","x","s","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","g"
"243","e","x","s","w","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","m"
"244","p","x","s","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","v","u"
"245","e","f","f","w","t","a","f","w","n","p","t","b","s","s","w","w","p","w","o","p","u","v","d"
"246","e","x","s","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","g"
"247","e","x","s","w","t","l","f","w","n","p","t","b","s","s","w","w","p","w","o","p","u","v","d"
"248","e","x","y","w","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","m"
"249","e","f","y","y","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","y","p"
"250","e","x","s","n","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","k","s","g"
"251","e","f","y","y","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","n","y","g"
"252","p","x","s","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","s","g"
"253","e","s","f","n","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","n","v","u"
"254","e","b","y","y","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","m"
"255","e","b","s","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","g"
"256","e","b","y","w","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","n","m"
"257","e","f","f","n","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","v","u"
"258","e","x","s","w","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","n","m"
"259","e","b","y","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","g"
"260","e","b","y","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","m"
"261","e","f","y","n","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","n","s","g"
"262","p","x","y","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","g"
"263","e","x","s","w","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","g"
"264","e","x","y","w","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","m"
"265","e","f","f","w","t","l","f","w","n","w","t","b","s","s","w","w","p","w","o","p","u","v","d"
"266","e","f","f","g","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","k","v","u"
"267","e","f","s","g","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","k","a","g"
"268","e","x","y","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","m"
"269","e","b","s","w","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","m"
"270","p","f","y","n","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","k","s","u"
"271","e","x","s","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","m"
"272","p","f","s","n","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","k","v","u"
"273","e","x","y","w","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","g"
"274","e","x","y","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","n","m"
