"","Id","Months_since_Last_Donation","Number_of_Donations","Total_Volume_Donated_cc","Months_since_First_Donation","Made_Donation_in_March_2007","predictedProbabilities","stdResiduals","studentResiduals","dfbeta.(Intercept)","dfbeta.Months_since_Last_Donation","dfbeta.Number_of_Donations","dfbeta.Months_since_First_Donation","dffit","leverage","cooksDistance"
"60",144, 2, 4,1000,16,"Not_Donated",0.362816314,-0.9523392,-0.9512644,-1.585573e-02, 7.540100e-04,-7.558840e-05, 1.550134e-04,-0.076902601,0.006125406,8.827422e-04
"505",442, 4, 2, 500,31,"Not_Donated",0.199317671,-0.6688104,-0.6679132,-7.303700e-03, 4.407839e-04, 1.370457e-03,-2.397377e-04,-0.053832824,0.006092747,3.838371e-04
"139", 88, 2, 1, 250, 2,"Not_Donated",0.327908386,-0.8955079,-0.8939516,-1.917791e-02, 5.861159e-04, 2.829368e-04, 2.436076e-04,-0.087743858,0.008994638,1.117109e-03
"26",330, 1,14,3500,58,"Not_Donated",0.537555114,-1.2521766,-1.2496662,-1.566585e-03, 1.735568e-03,-2.371535e-03,-1.402152e-04,-0.165705281,0.016257160,4.881851e-03
"184",615, 8,10,2500,63,"Not_Donated",0.222711977,-0.7124141,-0.7113097, 2.771345e-03, 3.051706e-05, 3.705033e-04,-3.025874e-04,-0.062297891,0.007182373,5.219520e-04
"531",566,16, 6,1500,50,"Not_Donated",0.086684985,-0.4269452,-0.4264239, 1.969798e-03,-4.694582e-04, 2.921988e-04,-8.002754e-05,-0.031478906,0.005120562,1.227552e-04
"495", 10,14, 2, 500,14,"Not_Donated",0.120359867,-0.5080001,-0.5072744,-1.642332e-03,-6.758322e-04, 4.213260e-05, 1.025767e-04,-0.040970715,0.006119667,2.119221e-04
"383",295,23, 4,1000,87,"Not_Donated",0.015573762,-0.1775786,-0.1773808, 9.797880e-04,-1.169619e-04, 2.542289e-04,-6.618164e-05,-0.012251681,0.004488119,1.791108e-05
"353",602,21, 1, 250,21,"Not_Donated",0.048646342,-0.3167787,-0.3163092, 5.472328e-04,-4.816826e-04, 1.345898e-04, 2.173675e-05,-0.025455793,0.006077857,7.864914e-05
"549",532,23, 2, 500,23,"Not_Donated",0.044895123,-0.3041238,-0.3036232, 9.730009e-04,-5.100310e-04, 5.493765e-05, 3.134503e-05,-0.025736924,0.006736305,8.023811e-05
"361",333,21, 4,1000,52,"Not_Donated",0.039563287,-0.2848502,-0.2845016, 1.429326e-03,-3.332142e-04, 2.574284e-04,-5.343428e-05,-0.020738735,0.004994744,5.195485e-05
"392",190, 4, 4,1000, 4,"Donated",0.378637553, 1.4004654, 1.3994154, 2.353689e-02,-6.091960e-05, 1.980967e-03,-7.955834e-04, 0.142470077,0.009662739,4.041991e-03
"298",704,14, 7,1750,73,"Not_Donated",0.075214226,-0.3969049,-0.3962107, 2.360911e-03,-2.059513e-04, 6.498807e-04,-2.058356e-04,-0.034935326,0.007282160,1.502476e-04
"325",558,21, 2, 500,23,"Not_Donated",0.053979278,-0.3342227,-0.3336966, 8.011236e-04,-5.371261e-04, 8.662967e-05, 3.039347e-05,-0.027724852,0.006473974,9.355756e-05
"159",113, 9, 9,2250,45,"Not_Donated",0.248315114,-0.7571709,-0.7564940, 9.115807e-04,-3.626582e-04,-4.427802e-04,-2.470435e-05,-0.050809450,0.004241351,3.532673e-04
"82",424, 4, 8,2000,34,"Donated",0.369012883, 1.4153104, 1.4148447, 1.056845e-02,-6.609044e-04, 1.155519e-03,-1.054204e-04, 0.099319242,0.004620864,1.993724e-03
"526",418,20,14,3500,69,"Donated",0.126672123, 2.0476381, 2.0574914,-3.275038e-02, 4.155303e-03, 2.820288e-03,-4.876589e-06, 0.255882222,0.014433058,2.561075e-02
"492", 91,10, 5,1250,38,"Not_Donated",0.159103045,-0.5896677,-0.5892303,-1.010256e-03,-2.986018e-04, 4.364704e-04,-9.105365e-05,-0.034696998,0.003266105,1.555061e-04
"374",110,23, 1, 250,23,"Not_Donated",0.038763329,-0.2820349,-0.2816225, 7.441851e-04,-4.332610e-04, 1.149800e-04, 1.587596e-05,-0.022449578,0.005964454,6.085519e-05
"433",200, 4,16,4000,98,"Donated",0.330503354, 1.5127244, 1.5106381,-1.753505e-02,-2.103484e-03,-1.129358e-03, 1.528783e-03, 0.285030886,0.032363276,1.750412e-02
"16",191, 2,15,3750,49,"Donated",0.599428507, 1.0209332, 1.0177411, 9.570531e-04,-8.590811e-04, 3.528041e-03,-2.927198e-04, 0.142144614,0.017986572,3.115991e-03
"258", 32,14, 7,1750,47,"Not_Donated",0.125394851,-0.5189106,-0.5183266, 2.084860e-03,-5.502805e-04, 1.460426e-04,-6.387802e-05,-0.037187240,0.004837926,1.750972e-04
"411",259, 2, 6,1500,26,"Not_Donated",0.383504845,-0.9862840,-0.9853160,-1.298125e-02, 8.860089e-04,-2.808778e-04, 6.597503e-05,-0.075424151,0.005496168,8.642279e-04
"118",472, 6, 3, 750,14,"Not_Donated",0.257221217,-0.7728451,-0.7721488,-9.288755e-03,-9.544654e-05, 3.837132e-05, 1.503944e-04,-0.052295501,0.004312123,3.765581e-04
"172",580, 4, 1, 250, 4,"Not_Donated",0.277860906,-0.8097229,-0.8085663,-1.448287e-02, 1.820136e-04, 2.936333e-04, 2.000486e-04,-0.069805966,0.006979661,6.808707e-04
"125", 90, 2, 1, 250, 2,"Not_Donated",0.327908386,-0.8955079,-0.8939516,-1.917791e-02, 5.861159e-04, 2.829368e-04, 2.436076e-04,-0.087743858,0.008994638,1.117109e-03
"78",476, 4, 2, 500, 4,"Not_Donated",0.309631394,-0.8640313,-0.8627760,-1.524446e-02, 1.455956e-04,-1.722309e-04, 3.026863e-04,-0.076486710,0.007354908,8.369379e-04
"222", 36,11, 8,2000,48,"Not_Donated",0.179444755,-0.6302623,-0.6296652, 1.704526e-03,-4.386044e-04, 5.516940e-05,-8.943207e-05,-0.042255117,0.004235486,2.335355e-04
"221",457,14,18,4500,78,"Not_Donated",0.282427879,-0.8245283,-0.8205489, 1.650278e-02,-1.213097e-03,-2.399239e-03,-2.364534e-06,-0.131982808,0.023657284,2.441981e-03
"197",519, 2, 6,1500,75,"Not_Donated",0.176082428,-0.6295776,-0.6263657,-1.807789e-03, 1.011098e-03, 2.298546e-03,-6.928437e-04,-0.098639624,0.022701935,1.269934e-03
"83",155, 4, 9,2250,40,"Not_Donated",0.374250016,-0.9708455,-0.9699252,-5.311975e-03, 5.244516e-04,-7.972638e-04,-3.409002e-06,-0.072432112,0.005233006,7.906959e-04
"75",445, 2, 7,1750,35,"Donated",0.373393803, 1.4076831, 1.4070865, 1.477382e-02,-1.456322e-03,-1.870401e-05, 1.415725e-04, 0.109934854,0.005716953,2.426119e-03
"536",627,14, 1, 250,14,"Not_Donated",0.105054766,-0.4724778,-0.4718542,-1.696133e-03,-5.722879e-04, 2.165241e-04, 6.005378e-05,-0.036435850,0.005598437,1.661508e-04
"246",261, 4, 2, 500,29,"Not_Donated",0.206368572,-0.6818544,-0.6810027,-7.762533e-03, 4.288824e-04, 1.301505e-03,-2.137412e-04,-0.053106413,0.005706712,3.752508e-04
"141", 61, 2, 1, 250, 2,"Not_Donated",0.327908386,-0.8955079,-0.8939516,-1.917791e-02, 5.861159e-04, 2.829368e-04, 2.436076e-04,-0.087743858,0.008994638,1.117109e-03
"452",484, 2, 1, 250, 2,"Not_Donated",0.327908386,-0.8955079,-0.8939516,-1.917791e-02, 5.861159e-04, 2.829368e-04, 2.436076e-04,-0.087743858,0.008994638,1.117109e-03
"558",450,21, 3, 750,40,"Not_Donated",0.043894191,-0.3003969,-0.3000186, 1.179795e-03,-3.960230e-04, 2.096014e-04,-2.666175e-05,-0.022214503,0.005152121,5.974668e-05
"232",102,11, 5,1250,35,"Not_Donated",0.154933746,-0.5812309,-0.5807806,-7.289289e-04,-4.247086e-04, 2.670264e-04,-4.018191e-05,-0.034900289,0.003400737,1.569377e-04
"419",106, 1,14,3500,95,"Not_Donated",0.341579743,-0.9317404,-0.9251390, 5.524149e-03, 2.032566e-03, 1.724163e-03,-1.118225e-03,-0.188441581,0.037224870,5.208497e-03
"66", 66, 2, 2, 500, 4,"Not_Donated",0.352512047,-0.9364191,-0.9349072,-1.925148e-02, 6.047430e-04,-6.994842e-05, 2.965424e-04,-0.089883491,0.008633546,1.195647e-03
"292",225,14, 1, 250,14,"Not_Donated",0.105054766,-0.4724778,-0.4718542,-1.696133e-03,-5.722879e-04, 2.165241e-04, 6.005378e-05,-0.036435850,0.005598437,1.661508e-04
"109", 35, 2,11,2750,88,"Not_Donated",0.257250853,-0.7825649,-0.7778499, 2.283724e-03, 1.423349e-03, 2.069916e-03,-9.107730e-04,-0.138471740,0.028761796,2.640093e-03
"68",380, 2, 4,1000,16,"Not_Donated",0.362816314,-0.9523392,-0.9512644,-1.585573e-02, 7.540100e-04,-7.558840e-05, 1.550134e-04,-0.076902601,0.006125406,8.827422e-04
"550",338,23, 6,1500,45,"Not_Donated",0.050971373,-0.3245827,-0.3240415, 2.238567e-03,-5.426259e-04, 3.159169e-05,-1.915427e-06,-0.027693701,0.006846353,9.319946e-05
"464",497,14, 8,2000,26,"Not_Donated",0.208968105,-0.6883449,-0.6867625, 1.546682e-03,-1.217708e-03,-1.322289e-03, 3.143758e-04,-0.072969385,0.010520289,7.096430e-04
"194",219, 7,12,3000,86,"Not_Donated",0.206195404,-0.6854444,-0.6828868, 5.486325e-03, 3.948942e-04, 1.015840e-03,-5.759408e-04,-0.092735125,0.017023272,1.144095e-03
"342",420,23,12,3000,86,"Not_Donated",0.052221083,-0.3290247,-0.3282928, 4.281113e-03,-4.743387e-04, 1.059542e-04,-9.557086e-05,-0.032469562,0.009137717,1.282006e-04
"51",479, 3, 6,1500,21,"Not_Donated",0.386371673,-0.9910535,-0.9900750,-1.285998e-02, 5.389255e-04,-8.456440e-04, 2.371700e-04,-0.076191584,0.005554280,8.841084e-04
"198",400,11, 8,2000,41,"Donated",0.203026905, 1.7895848, 1.7904740,-3.059818e-03, 1.545267e-03, 8.725540e-04,-4.229984e-05, 0.121339559,0.004302840,4.259226e-03
"142",359,11,10,2500,35,"Not_Donated",0.282894796,-0.8191969,-0.8177012, 1.996854e-03,-1.000963e-03,-1.821261e-03, 3.097744e-04,-0.080133378,0.008967805,9.005186e-04
"418", 24, 4, 2, 500, 4,"Donated",0.309631394, 1.5369186, 1.5366411, 2.711649e-02,-2.589821e-04, 3.063602e-04,-5.384112e-04, 0.136314721,0.007354908,4.160689e-03
"229",616,14, 3, 750,19,"Donated",0.125121999, 2.0446628, 2.0486141, 4.166726e-03, 2.697215e-03,-3.009577e-05,-3.517721e-04, 0.159470182,0.005672261,1.002885e-02
"414",489, 2, 6,1500,26,"Donated",0.383504845, 1.3883081, 1.3876924, 1.827260e-02,-1.247159e-03, 3.953678e-04,-9.286744e-05, 0.106288876,0.005496168,2.233294e-03
"509",559,15, 5,1250,33,"Not_Donated",0.115019498,-0.4956154,-0.4950221, 8.549785e-04,-6.462415e-04, 4.900745e-05, 1.923233e-05,-0.036508110,0.005110354,1.677563e-04
"404",258, 1,10,2500,43,"Donated",0.466190494, 1.2412437, 1.2397974, 9.673125e-03,-1.613124e-03, 1.183285e-03, 7.938474e-05, 0.123949742,0.009323070,2.719304e-03
"223", 76,14,16,4000,70,"Not_Donated",0.256446186,-0.7767694,-0.7738734, 1.273216e-02,-1.141458e-03,-1.901789e-03, 2.458268e-05,-0.107532962,0.017803903,1.591266e-03
"380",305,21, 3, 750,64,"Not_Donated",0.026483461,-0.2322270,-0.2319630, 1.072395e-03,-1.973181e-04, 3.111239e-04,-7.094868e-05,-0.016234511,0.004607146,3.162382e-05
"316",236,16, 1, 250,16,"Not_Donated",0.084732476,-0.4220432,-0.4214533,-7.133818e-04,-5.690006e-04, 1.918010e-04, 4.551438e-05,-0.033282658,0.005853682,1.370788e-04
"356",525,21, 1, 250,21,"Donated",0.048646342, 2.4664409, 2.4831323,-4.260759e-03, 3.750384e-03,-1.047917e-03,-1.692425e-04, 0.199621148,0.006077857,3.007998e-02
"2",664, 0,13,3250,28,"Donated",0.678807840, 0.8891932, 0.8857208, 7.815837e-03,-8.227136e-04, 3.587467e-03,-5.692329e-04, 0.130713686,0.020021251,2.466130e-03
"238",575,14, 6,1500,34,"Not_Donated",0.140384444,-0.5514487,-0.5507992, 9.888666e-04,-7.057242e-04,-1.123331e-04, 4.188069e-05,-0.040644306,0.005115505,2.110075e-04
"111",594, 2, 5,1250,37,"Not_Donated",0.295711948,-0.8401608,-0.8390297,-9.377960e-03, 9.623491e-04, 1.119716e-03,-2.847293e-04,-0.070997059,0.006707263,7.135910e-04
"190",264, 4, 3, 750,25,"Donated",0.248527064, 1.6722677, 1.6725779, 2.018921e-02,-8.857471e-04,-1.916052e-03, 2.337127e-04, 0.113516491,0.004316945,3.291653e-03
"305",601,21, 2, 500,21,"Donated",0.056250000, 2.4073786, 2.4230661,-5.440598e-03, 3.998211e-03,-4.077901e-04,-2.912538e-04, 0.206525532,0.006828265,2.903596e-02
"176",415, 4, 1, 250, 4,"Donated",0.277860906, 1.6060111, 1.6060935, 2.872544e-02,-3.610072e-04,-5.823947e-04,-3.967781e-04, 0.138771238,0.006979661,4.598874e-03
"57",146, 4, 7,1750,25,"Not_Donated",0.379077063,-0.9787730,-0.9778729,-9.901415e-03, 3.214637e-04,-1.094755e-03, 2.373351e-04,-0.072191850,0.005114900,7.887169e-04
"122",556, 2, 7,1750,58,"Donated",0.265185613, 1.6399359, 1.6403998, 9.080906e-03,-2.349444e-03,-3.460602e-03, 1.174875e-03, 0.193376183,0.012917130,9.183887e-03
"329",516,14, 5,1250,74,"Not_Donated",0.055329278,-0.3386324,-0.3380339, 1.502088e-03,-1.273494e-04, 6.887160e-04,-1.888848e-04,-0.029789445,0.007274761,1.080874e-04
"206",578, 4, 4,1000,41,"Not_Donated",0.213811583,-0.6958792,-0.6949008,-5.646144e-03, 5.282485e-04, 1.343628e-03,-3.133831e-04,-0.057707389,0.006464269,4.452430e-04
"388",677, 6,22,5500,28,"Donated",0.824349917, 0.6381586, 0.6307632,-2.933758e-03, 5.533038e-04, 5.111533e-03,-8.700765e-04, 0.152682224,0.051384279,3.041770e-03
"52",444, 2, 8,2000,35,"Donated",0.409887458, 1.3397262, 1.3389254, 1.313015e-02,-1.319079e-03, 7.990051e-04, 1.334422e-06, 0.108924929,0.006195980,2.257973e-03
"213",702,13, 4,1000,21,"Not_Donated",0.149537094,-0.5707194,-0.5700093,-1.221931e-03,-7.196724e-04,-1.315048e-04, 1.130980e-04,-0.043383616,0.005439286,2.417201e-04
"482",561, 7,11,2750,89,"Not_Donated",0.172690126,-0.6214003,-0.6188685, 4.513465e-03, 4.008593e-04, 1.299885e-03,-5.801780e-04,-0.086710018,0.018092899,9.792795e-04
"437",147, 4, 6,1500,35,"Donated",0.296344478, 1.5626718, 1.5625994, 1.328379e-02,-9.200564e-04,-7.076738e-04, 2.271434e-04, 0.100516154,0.003881182,2.321908e-03
"542",197,16, 1, 250,16,"Not_Donated",0.084732476,-0.4220432,-0.4214533,-7.133818e-04,-5.690006e-04, 1.918010e-04, 4.551438e-05,-0.033282658,0.005853682,1.370788e-04
"87",271, 2, 3, 750,14,"Not_Donated",0.337868748,-0.9109411,-0.9098461,-1.603044e-02, 7.277085e-04, 2.857409e-04, 1.099463e-04,-0.074620896,0.006303451,8.143569e-04
"65",490, 2, 4,1000,16,"Donated",0.362816314, 1.4283607, 1.4277749, 2.378112e-02,-1.130898e-03, 1.133708e-04,-2.324960e-04, 0.115497642,0.006125406,2.722636e-03
"315",184,16, 1, 250,16,"Not_Donated",0.084732476,-0.4220432,-0.4214533,-7.133818e-04,-5.690006e-04, 1.918010e-04, 4.551438e-05,-0.033282658,0.005853682,1.370788e-04
"167",517,11, 3, 750,14,"Not_Donated",0.175805086,-0.6235535,-0.6227899,-3.659134e-03,-6.518813e-04,-1.359856e-04, 1.622205e-04,-0.047489027,0.005458850,2.943047e-04
"504",209,16,16,4000,77,"Not_Donated",0.196079298,-0.6664565,-0.6639176, 1.196251e-02,-1.063821e-03,-1.172660e-03,-6.963189e-05,-0.090731391,0.017234690,1.088084e-03
"155",238, 2, 2, 500,14,"Not_Donated",0.304478743,-0.8549532,-0.8538474,-1.533811e-02, 7.186247e-04, 7.489372e-04, 1.936868e-05,-0.071165064,0.006508776,7.217019e-04
"92",279, 2,12,3000,82,"Not_Donated",0.315133896,-0.8809035,-0.8766799, 2.467767e-03, 1.524271e-03, 1.448200e-03,-8.502294e-04,-0.143246892,0.024390984,2.947862e-03
"373",554,23, 1, 250,23,"Not_Donated",0.038763329,-0.2820349,-0.2816225, 7.441851e-04,-4.332610e-04, 1.149800e-04, 1.587596e-05,-0.022449578,0.005964454,6.085519e-05
"47",332, 4, 5,1250,14,"Donated",0.363518294, 1.4270532, 1.4264563, 1.977828e-02,-2.940019e-04, 1.435892e-03,-5.232536e-04, 0.116111744,0.006201646,2.748591e-03
"572",698,23, 1, 250,23,"Not_Donated",0.038763329,-0.2820349,-0.2816225, 7.441851e-04,-4.332610e-04, 1.149800e-04, 1.587596e-05,-0.022449578,0.005964454,6.085519e-05
"243",121,12, 9,2250,60,"Not_Donated",0.151173373,-0.5742182,-0.5734518, 3.300958e-03,-3.854580e-04, 2.719169e-04,-1.752149e-04,-0.045241296,0.005840800,2.631218e-04
"284",137,11, 2, 500,26,"Not_Donated",0.123473647,-0.5143764,-0.5139209,-2.095176e-03,-3.445705e-04, 5.304268e-04,-4.354268e-05,-0.032663191,0.003802489,1.349356e-04
"547",577,11, 4,1000,74,"Not_Donated",0.062970607,-0.3623129,-0.3615186, 9.127341e-04,-2.460622e-06, 9.292561e-04,-2.456580e-04,-0.035603001,0.009060611,1.550201e-04
"231",727,11, 4,1000,28,"Not_Donated",0.154852252,-0.5811105,-0.5806394,-1.689257e-03,-4.656994e-04, 2.246345e-04, 6.655306e-06,-0.035698436,0.003558971,1.641898e-04
"451",635, 2, 1, 250, 2,"Not_Donated",0.327908386,-0.8955079,-0.8939516,-1.917791e-02, 5.861159e-04, 2.829368e-04, 2.436076e-04,-0.087743858,0.008994638,1.117109e-03
"228",598, 4, 2, 500,23,"Not_Donated",0.228618488,-0.7222878,-0.7215284,-9.256701e-03, 3.846392e-04, 1.055481e-03,-1.233952e-04,-0.052100169,0.004898097,3.665004e-04
"420",255, 2, 3, 750,11,"Not_Donated",0.352654158,-0.9358407,-0.9346324,-1.717806e-02, 6.915418e-04, 2.027229e-05, 1.963690e-04,-0.080271577,0.006906321,9.537158e-04
"430",313,14, 5,1250,14,"Not_Donated",0.178101287,-0.6294325,-0.6280411,-1.112496e-03,-1.085916e-03,-8.360968e-04, 2.987894e-04,-0.064590763,0.009866610,5.452169e-04
"475",136, 4, 7,1750,62,"Not_Donated",0.214125700,-0.6982367,-0.6964861,-1.740700e-03, 7.004941e-04, 1.525943e-03,-5.075739e-04,-0.077503924,0.011522490,8.032828e-04
"192",706, 9, 2, 500,11,"Not_Donated",0.191693448,-0.6540333,-0.6533112,-5.978799e-03,-4.546498e-04, 8.333561e-05, 1.457217e-04,-0.047583340,0.004983558,2.984353e-04
"70",485, 2, 4,1000,16,"Not_Donated",0.362816314,-0.9523392,-0.9512644,-1.585573e-02, 7.540100e-04,-7.558840e-05, 1.550134e-04,-0.076902601,0.006125406,8.827422e-04
"436",331, 4, 9,2250,55,"Not_Donated",0.301304382,-0.8500608,-0.8487648,-2.073040e-03, 7.146787e-04, 5.430709e-04,-3.616169e-04,-0.076721454,0.007643570,8.367935e-04
"527",130, 4, 2, 500,46,"Not_Donated",0.152176461,-0.5775421,-0.5762015,-4.435160e-03, 4.914015e-04, 1.708375e-03,-3.775947e-04,-0.060149364,0.010161443,4.653810e-04
"30",340, 2, 8,2000,28,"Donated",0.447247255, 1.2730825, 1.2720386, 1.439278e-02,-1.056703e-03, 1.680845e-03,-2.703688e-04, 0.110558473,0.007065752,2.214321e-03
"439", 41, 2, 6,1500,47,"Not_Donated",0.282399044,-0.8183597,-0.8168588,-6.890345e-03, 1.050704e-03, 1.379359e-03,-4.239944e-04,-0.080209082,0.009002861,9.018949e-04
"331",543,16, 3, 750,40,"Not_Donated",0.069362901,-0.3800427,-0.3796238, 6.831106e-04,-3.834125e-04, 3.950411e-04,-6.479015e-05,-0.026475456,0.004574276,8.601843e-05
"67",448, 2, 2, 500, 4,"Not_Donated",0.352512047,-0.9364191,-0.9349072,-1.925148e-02, 6.047430e-04,-6.994842e-05, 2.965424e-04,-0.089883491,0.008633546,1.195647e-03
"252",324,14, 8,2000,50,"Donated",0.135349572, 2.0052575, 2.0084219,-1.036447e-02, 2.193410e-03,-1.564285e-04, 2.398998e-04, 0.150968102,0.005289370,8.537567e-03
"438",203, 2, 6,1500,45,"Not_Donated",0.291319634,-0.8333359,-0.8319446,-7.382635e-03, 1.043433e-03, 1.261078e-03,-3.891698e-04,-0.078284456,0.008276099,8.647757e-04
"267",159,11, 1, 250,11,"Not_Donated",0.143548388,-0.5581605,-0.5574903,-3.945907e-03,-5.116329e-04, 2.522017e-04, 8.913150e-05,-0.041584287,0.005226172,2.212944e-04
"185",494, 4, 2, 500,14,"Not_Donated",0.265049210,-0.7867453,-0.7859377,-1.184668e-02, 2.916346e-04, 5.651380e-04, 5.012721e-05,-0.057065790,0.004951416,4.508677e-04
"294",708,14, 1, 250,14,"Not_Donated",0.105054766,-0.4724778,-0.4718542,-1.696133e-03,-5.722879e-04, 2.165241e-04, 6.005378e-05,-0.036435850,0.005598437,1.661508e-04
"146",432, 4, 4,1000,26,"Donated",0.273878269, 1.6124986, 1.6125718, 1.852179e-02,-8.166707e-04,-1.163280e-03, 1.285928e-04, 0.103311654,0.003849264,2.571103e-03
"140",589, 2, 1, 250, 2,"Not_Donated",0.327908386,-0.8955079,-0.8939516,-1.917791e-02, 5.861159e-04, 2.829368e-04, 2.436076e-04,-0.087743858,0.008994638,1.117109e-03
"101",172, 2, 5,1250,33,"Donated",0.314194111, 1.5261621, 1.5259051, 1.845371e-02,-1.642469e-03,-1.484521e-03, 3.522427e-04, 0.120875911,0.005874259,3.243498e-03
"483", 55, 8, 9,2250,64,"Not_Donated",0.193880485,-0.6590036,-0.6579163, 2.077733e-03, 7.504914e-05, 7.026757e-04,-3.356570e-04,-0.058728451,0.007458689,4.552396e-04
"443",351, 9, 9,2250,38,"Not_Donated",0.277882962,-0.8089341,-0.8081150,-3.956024e-06,-5.225720e-04,-1.012717e-03, 1.279710e-04,-0.058661271,0.004948658,4.808292e-04
"71",630, 2, 6,1500,28,"Donated",0.373248154, 1.4077141, 1.4071547, 1.788427e-02,-1.322632e-03, 1.184252e-04,-1.024753e-05, 0.106500204,0.005366959,2.277406e-03
"43",377, 2, 2, 500, 2,"Not_Donated",0.362528516,-0.9534379,-0.9517839,-2.009856e-02, 5.760955e-04,-2.607842e-04, 3.601998e-04,-0.095574963,0.009408073,1.363115e-03
"485",443,11,16,4000,89,"Not_Donated",0.233605005,-0.7362501,-0.7333582, 1.180352e-02,-3.015593e-04,-3.914819e-04,-3.871518e-04,-0.103507848,0.018354049,1.451415e-03
"307",724,16, 8,2000,76,"Not_Donated",0.068165990,-0.3771404,-0.3764793, 2.887038e-03,-2.802431e-04, 5.047969e-04,-1.757449e-04,-0.033161736,0.007267652,1.348649e-04
"275",735, 9, 2, 500,26,"Not_Donated",0.146026596,-0.5628989,-0.5624326,-3.421838e-03,-2.090099e-04, 6.775589e-04,-7.004849e-05,-0.034839629,0.003612667,1.555605e-04
"397",226, 3, 5,1250,12,"Donated",0.396611704, 1.3651111, 1.3642052, 2.140589e-02,-5.519603e-04, 1.581273e-03,-5.594654e-04, 0.122010939,0.007476837,2.886742e-03
"297",234, 9, 3, 750,52,"Not_Donated",0.101581547,-0.4643942,-0.4636700,-7.100975e-04, 6.703408e-06, 1.056258e-03,-2.441895e-04,-0.038902383,0.006599651,1.890377e-04
"548",118,21, 6,1500,48,"Not_Donated",0.057553699,-0.3453888,-0.3448684, 2.228770e-03,-5.204396e-04, 1.073841e-04,-2.460646e-05,-0.028056046,0.006209384,9.598766e-05
"230",634,16,12,3000,50,"Not_Donated",0.192277922,-0.6576110,-0.6557988, 7.033949e-03,-1.230773e-03,-1.301718e-03, 1.479601e-04,-0.075861253,0.012435454,7.588189e-04
"290", 25,14, 1, 250,14,"Not_Donated",0.105054766,-0.4724778,-0.4718542,-1.696133e-03,-5.722879e-04, 2.165241e-04, 6.005378e-05,-0.036435850,0.005598437,1.661508e-04
